analysis_group,metric_1,metric_2,complete_pairs_n,spearman_rho,p_value,mathematical_overlap,holm_p_value,holm_reject_0_05
All posts,views,reach,185,0.9336698587068958,1.5492287303740773e-83,False,4.182917572010009e-82,True
All posts,views,likes,187,0.6147978091012122,7.987870382620759e-21,False,1.8372101880027745e-19,True
All posts,views,shares,187,0.6263084063984297,9.14541567892123e-22,False,2.2863539197303076e-20,True
All posts,views,comments,187,0.21468592239592335,0.0031717454775183587,False,0.015858727387591795,True
All posts,views,saves,187,0.2766263993164087,0.00012684582456399604,False,0.0011416124210759644,True
All posts,views,follows,185,0.3934482872635455,3.0196655246536604e-08,False,5.133431391911223e-07,True
All posts,views,total_interactions,187,0.6392736812088912,7.128396215127622e-23,False,1.8533830159331818e-21,True
All posts,reach,likes,185,0.49049717164350376,1.3679756318137964e-12,False,2.8727488268089726e-11,True
All posts,reach,shares,185,0.6178469077567619,7.379236311489866e-21,False,1.7710167147575678e-19,True
All posts,reach,comments,185,0.1348837025702666,0.06716677449785474,False,0.06716677449785474,False
All posts,reach,saves,185,0.27354138961974755,0.0001649181259954862,False,0.0013193450079638895,True
All posts,reach,follows,185,0.36759166463605986,2.643214187211021e-07,False,3.7004998620954294e-06,True
All posts,reach,total_interactions,185,0.5156811676877688,5.842794246712385e-14,False,1.2854147342767247e-12,True
All posts,likes,shares,187,0.3522499464538348,7.652198304147572e-07,False,9.947857795391845e-06,True
All posts,likes,comments,187,0.33007435520650985,3.9614909356624365e-06,False,4.4185766694637564e-05,True
All posts,likes,saves,187,0.21062104018236988,0.0038107610215329323,False,0.015858727387591795,True
All posts,likes,follows,185,0.3993755750068267,1.787719643362137e-08,False,3.2178953580518463e-07,True
All posts,likes,total_interactions,187,0.9931759855724906,1.340835366217465e-174,True,3.754339025408902e-173,True
All posts,shares,comments,187,0.19886825595065133,0.006361232182081182,False,0.019083696546243548,True
All posts,shares,saves,187,0.3284872188895028,4.434815201240166e-06,False,4.434815201240166e-05,True
All posts,shares,follows,185,0.3840884632097627,6.767994007375612e-08,False,1.082879041180098e-06,True
All posts,shares,total_interactions,187,0.4213157094111541,1.917441854389533e-09,True,3.8348837087790656e-08,True
All posts,comments,saves,187,0.15621851800998396,0.03275626088658582,False,0.06551252177317164,False
All posts,comments,follows,185,0.22383474166920136,0.002192739463157591,False,0.013156436778945544,True
All posts,comments,total_interactions,187,0.3692181492453051,1.9924221146907515e-07,True,2.9886331720361273e-06,True
All posts,saves,follows,185,0.3328032873741219,3.6821472245531304e-06,False,4.4185766694637564e-05,True
All posts,saves,total_interactions,187,0.24097628312062297,0.0008927795264823935,True,0.006249456685376754,True
All posts,follows,total_interactions,185,0.4175092310770595,3.3692344376252433e-09,False,6.401545431487963e-08,True
Ocean Culture,views,reach,91,0.9283299019715125,5.136545062854818e-40,False,1.3868671669708008e-38,True
Ocean Culture,views,likes,93,0.5567959842082162,6.8029024355299965e-09,False,1.496638535816599e-07,True
Ocean Culture,views,shares,93,0.6980215989828416,7.479805958001592e-15,False,1.9447495490804139e-13,True
Ocean Culture,views,comments,93,0.2983516792592794,0.0036754609312115525,False,0.034196634912477666,True
Ocean Culture,views,saves,93,0.2258315248453249,0.029511391008783514,False,0.08853417302635054,False
Ocean Culture,views,follows,91,0.4072886779225295,6.156108231792906e-05,False,0.0008618551524510068,True
Ocean Culture,views,total_interactions,93,0.6010394427303901,1.8924480316850137e-10,False,4.541875276044032e-09,True
Ocean Culture,reach,likes,91,0.41056095947338767,5.297747884579137e-05,False,0.0007946621826868705,True
Ocean Culture,reach,shares,91,0.6952023443907819,2.0788644812273786e-14,False,5.197161203068446e-13,True
Ocean Culture,reach,comments,91,0.28924816200331005,0.005422279024133889,False,0.03795595316893722,True
Ocean Culture,reach,saves,91,0.22765093201260644,0.029990767099895906,False,0.08853417302635054,False
Ocean Culture,reach,follows,91,0.39221364269729825,0.00012054405178828266,False,0.0015670726732476747,True
Ocean Culture,reach,total_interactions,91,0.46244822127003604,3.932502273229234e-06,False,7.86500454645847e-05,True
Ocean Culture,likes,shares,93,0.34466790055728674,0.0007164724531476932,False,0.008597669437772319,True
Ocean Culture,likes,comments,93,0.3005559730342219,0.0034196634912477667,False,0.034196634912477666,True
Ocean Culture,likes,saves,93,0.24604061875238778,0.01743954878164684,False,0.06975819512658736,False
Ocean Culture,likes,follows,91,0.4158498753495359,4.1423461870644533e-05,False,0.0007041988518009571,True
Ocean Culture,likes,total_interactions,93,0.9908526086978349,5.894341477443875e-81,True,1.650415613684285e-79,True
Ocean Culture,shares,comments,93,0.19659502054283765,0.05892819490110938,False,0.08853417302635054,False
Ocean Culture,shares,saves,93,0.29867714047782856,0.0036366472979282418,False,0.034196634912477666,True
Ocean Culture,shares,follows,91,0.49972874043823656,4.5832190477628623e-07,False,9.624760000302012e-06,True
Ocean Culture,shares,total_interactions,93,0.4309147746657735,1.6191990874802942e-05,True,0.00030748023088197023,True
